algorithm,training_seed,disturbance_type,disturbance_level,num_episodes,success_rate,mean_episode_return,std_episode_return,mean_final_goal_distance,std_final_goal_distance,mean_episode_length,std_episode_length,mean_payload_stability,std_payload_stability,mean_control_effort,std_control_effort,mean_force_imbalance,std_force_imbalance
independent_ddpg,19,observation_noise,0.2,20,0.95,10.339052330883169,2.572733589993009,0.22304945742327123,0.17809852206436977,119.25,80.0439846189844,0.8647909504682435,0.27494672439038553,438.53474674776,294.1566664153871,0.3469435913943393,0.06767470639094061
independent_ddpg,23,action_deadzone,0.0,20,0.8,8.615044327297102,4.4365286357193385,0.26573969506325096,0.20837748427186195,190.6,74.5430995076709,1.708049594412185,0.3216246420532418,619.8525025929116,244.62485978754444,0.5044516240889225,0.07003274595506583
independent_ddpg,23,action_deadzone,0.05,20,0.9,9.61521315284329,3.436174780727411,0.263648022506784,0.21826408315337215,190.4,74.0109522478368,1.6982973415144254,0.3242457842170687,621.7752434345106,246.7317969643373,0.5038047712288733,0.07037947214012313
independent_ddpg,23,action_deadzone,0.1,20,0.8,8.596322320008563,4.433666452047868,0.26728325089800675,0.20092448949519723,196.95,74.58550374182006,1.7144729960358767,0.3256971148217452,637.0308211333177,244.22221406481916,0.4999095555255188,0.07164139994263309
independent_ddpg,23,action_deadzone,0.2,20,0.85,9.130366154178773,3.903784248892547,0.23040482786358935,0.1443293388109438,199.8,76.7494899691608,1.677232643987352,0.420539096819161,639.8655181864772,248.50757858839327,0.47653613437152814,0.08297003845332859
independent_ddpg,23,action_deadzone,0.3,20,0.85,9.159036254668854,3.9058453799530253,0.22608987771690772,0.11476553896940966,190.55,75.58715777863745,1.6744922828829942,0.4013694629519752,615.5103578079422,246.2774838289745,0.48603066266597245,0.08363526522063872
independent_ddpg,23,observation_noise,0.0,20,0.8,8.615044327297102,4.4365286357193385,0.26573969506325096,0.20837748427186195,190.6,74.5430995076709,1.708049594412185,0.3216246420532418,619.8525025929116,244.62485978754444,0.5044516240889225,0.07003274595506583
independent_ddpg,23,observation_noise,0.02,20,0.6,6.354343548580414,5.547349857750687,0.41012839843245913,0.3181604818378584,215.5,82.16254749291987,1.6459970812452511,0.3378687959476676,736.1646312940342,286.5936366788353,0.512470561334618,0.06105158057740737
independent_ddpg,23,observation_noise,0.05,20,0.55,5.802247723204528,5.610787411368124,0.41270277261726296,0.35874331527280495,224.3,85.8745106474987,1.418174322058717,0.43902865495118437,785.6859477314608,304.58786239799565,0.48347315588202866,0.1100019879211991
independent_ddpg,23,observation_noise,0.1,20,0.55,5.693014992429198,5.546894505561237,0.4179893198475876,0.34672523028928953,249.1,61.25520386057009,1.540744223176653,0.25936159940124826,889.6322039531384,228.181165183821,0.48637384718334153,0.07064296142378702
